id,text,aspects_json
204072730,No depth,"[{""aspect"": ""General"", ""sentiment"": ""Negative"", ""snippet"": ""no depth""}]"
204065949,"I won't write a lot but it's just BAD. Almost everything about it is bad. The Music is the only positive thing in the whole game. Good music but bad sounds, bugs, lag, lack of content, bad control of units, horrible dialogue, and just boring bland play. And I WANTED it to be good I still play Broodwar and SC2 all the time. ","[{""aspect"": ""Audio"", ""sentiment"": ""Positive"", ""snippet"": ""the music is the only positive thing in the whole game.""}, {""aspect"": ""Bugs"", ""sentiment"": ""Negative"", ""snippet"": ""bugs""}, {""aspect"": ""Performance"", ""sentiment"": ""Negative"", ""snippet"": ""lag""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Negative"", ""snippet"": ""and just boring bland play.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Positive"", ""snippet"": ""and i wanted it to be good i still play broodwar and sc2 all the time.""}]"
204062426,Just play StarCraft 1 or 2. This is boring.,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Negative"", ""snippet"": ""This is boring.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""just play starcraft 1 or 2. This is boring.""}]"
204031750,"I like this game.  It is fun!  That is what games are to be, FUN!","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""it is fun!""}]"
204021661,I'd rate the campaign at 7/10. I think it is good enough for this underserved genre. As of time of writing the other components of the game are in Early Access (i.e. they are worse than 7/10). I would only recommend that you buy if you are OK with the story not being continued,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""i'd rate the campaign at 7/10. i think it is good enough for this underserved genre.""}]"
204014740,"After playing all the game has to offer, hereby my final judgment of the current state:

Graphics: 7/10
The atmosphere and terrain look great, building and units are fine but not spectacular. The style is a bit cartoonist, but I don't mind that, it makes it easy to recognize what is what. 
Sadly a lot of models feel a bit unfinished, especially the character models and Ai faces are a bit off-putting, so I take a few points for that. 

Story: 3/10 
For a game that focuses on selling campaign chapters, the story telling and character development is medicocre at best, and horrible at its worst. And although the campaign mission play fine, the storytelling is... a nope for me. 

Gameplay: 6/10
The campaign missions are ""okey"", but the story drags it down into the mud, and it's hard to separate them out. 
I think with some polish the missions themselves could be a ""good"", but not when I played it. 
1v1 felt smooth and has working matchmaking and as it's free to play worth a try if you're into comparative rts games. 
The co-op felt unfinished so I will skip it in my judgement. 
They seem to be working on a map editor as well, what could be great in the long run. 

Unit control: 8/10
For both the campaign and 1v1 it feels great, sometimes the pathfinding is a bit off and there are some minor hiccups, but if the whole game was at this level we would be banging. 

Sound: 4/10 
Sound is all over the place, so I will split it up. 
First I encountered weird bugs during the campaign where sounds overlapped a lot or all of a sudden a voice is way too loud. 
Also, all weapons and effects sound off, they don't have any ""boom"" so to say. 
But then the voice actors are great, they can't help it that the lines they bring don't make a great story. 
The game music is also good, but the lack of enough songs makes that they play the same short song on repeat sometimes, what drives me crazy.
Overall really mixed feelings here, but not positive in the end. 

UI: 5/10
Feels and looks unfinished, but it does the job. I like the hotkey system they came up with though. 

Conclusion: 4/10
Let's quickly talk about... the micro transactions. Sometimes a system like this can work great, but I don't think it works here. 
The game 1v1 mode is free but the main selling point, the campaign, is paid for in chapters. Also there are heroes for co-op and classic cosmetics that don't do anything. 
As for now, that campaign is not worth the asking price and with that the whole idea of splitting it up makes little sense for me. 
The game is simply not finished, and with no clear sign if or when it will, I simply can't recommend picking it up. 
We will see if the develops can fix this ship, but it's going to be a rough journey.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""I think with some polish the missions themselves could be a ""good"", but not when I played it. ""}, {""aspect"": ""Graphics"", ""sentiment"": ""Positive"", ""snippet"": ""The atmosphere and terrain look great, building and units are fine but not spectacular. The style is a bit cartoonist, but I don't mind that, it makes it easy to recognize what is what.""}, {""aspect"": ""Controls"", ""sentiment"": ""Positive"", ""snippet"": ""For both the campaign and 1v1 it feels great, sometimes the pathfinding is a bit off and there are some minor hiccups, but if the whole game was at this level we would be banging. ""}, {""aspect"": ""Art"", ""sentiment"": ""Neutral"", ""snippet"": ""The atmosphere and terrain look great, building and units are fine but not spectacular. The style is a bit cartoonist, but I don't mind that, it makes it easy to recognize what is what.""}, {""aspect"": ""Matchmaking"", ""sentiment"": ""Positive"", ""snippet"": ""1v1 felt smooth and has working matchmaking and as it's free to play worth a try if you're into comparative rts games.""}, {""aspect"": ""Audio"", ""sentiment"": ""Negative"", ""snippet"": ""the lack of enough songs makes that they play the same short song on repeat sometimes, what drives me crazy""}, {""aspect"": ""Bugs"", ""sentiment"": ""Negative"", ""snippet"": ""first i encountered weird bugs during the campaign where sounds overlapped a lot or all of a sudden a voice is way too loud.""}, {""aspect"": ""Support"", ""sentiment"": ""Positive"", ""snippet"": ""they can't help it that the lines they bring don't make a great story.""}, {""aspect"": ""Monetization"", ""sentiment"": ""Neutral"", ""snippet"": ""op and classic cosmetics that don't do anything.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""op and classic cosmetics that don't do anything.""}]"
203996589,"I am an older guy 55+ and do not play PvP at all so I cannot speak to that part.  I backed this on KS and played on a off during the EA and BETA.  I am having fun running through the campaign and playing against AI on beginner level.  Am I having fun building, upgrading, and fighting against AI? Yes.  It is a lot like Starcraft but not as deep into the story like SC.  

I do not know what the future holds but as for now I am enjoying the game.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""I am having fun running through the campaign and playing against AI on beginner level.  Am I having fun building, upgrading, and fighting against AI? Yes.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""it is a lot like starcraft but not as deep into the story like sc.""}]"
203987152,"When I bought the game, it promised us 3 unique campaigns included with the purchase. That was false. We are now being charged again for the campaigns when we payed for a free-to-play game. This is a great way not just to loose players, but supporters who actually care for either the genre as a whole or the company thats behind the game. 

Now that my personal gripe is over, lets talk gameplay. Its okay, starcraft does the gameplay way better. its more fluid, most units in this game dont really feel useful let alone strong. Things might change in the coming patches, but i wont play anymore of the game, cause the campaign does not come with my purchase of the game. I wish that this is a game i could recommend cause i want more RTS games from the modern era. Lets hope that zero space does a better job than this sad example of a crowdfunded game.","[{""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""We are now being charged again for the campaigns when we payed for a free-to-play game.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""starcraft does the gameplay way better.""}, {""aspect"": ""Controls"", ""sentiment"": ""Neutral"", ""snippet"": ""its more fluid""}, {""aspect"": ""Balance"", ""sentiment"": ""Positive"", ""snippet"": ""lets hope that zero space does a better job than this sad example of a crowdfunded game.""}]"
203987091,good just little bit glichty fun game but could do with more teams to play,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""good just little bit glichty fun game but could do with more teams to play""}]"
203979595,"If you're a casual RTS player who just wants to play the campaign (which costs money), there's nothing special going on here. The game isn't polished. It isn't even really finished...
...but...
If you're into competitive multiplayer, the 1v1 mode is FREE and worth checking out. 
It isn't perfect/balanced/finished, but there's enough cool stuff going on here to try out multiplayer.

","[{""aspect"": ""Gameplay"", ""sentiment"": ""Negative"", ""snippet"": ""there's nothing special going on here. The game isn't polished.""}, {""aspect"": ""Balance"", ""sentiment"": ""Positive"", ""snippet"": ""it isn't perfect/balanced/finished""}]"
